ideAgenteCapacidadeInstalada,nomAgente,mdaPotenciaInstalada,mesReferencia,anoReferencia,dthProcessamento
1,AES Tiete,2651350.00,12,2006,13/09/2017 00:00:00
2,AES Tiete,2651350.00,12,2007,13/09/2017 00:00:00
3,AES Tiete,2651350.00,12,2008,13/09/2017 00:00:00
4,AES Tiete,2651350.00,12,2009,13/09/2017 00:00:00
5,AES Tiete,2645050.00,12,2010,13/09/2017 00:00:00
6,AES Tiete,2648050.00,12,2011,13/09/2017 00:00:00
7,AES Tiete,2652050.00,12,2012,13/09/2017 00:00:00
8,AES Tiete,2652050.00,12,2013,13/09/2017 00:00:00
9,AES Tiete,2652050.00,12,2014,13/09/2017 00:00:00
10,Cemig Geracao e Transmissao,6782574.00,12,2006,13/09/2017 00:00:00
11,Cemig Geracao e Transmissao,6782574.00,12,2007,13/09/2017 00:00:00
12,Cemig Geracao e Transmissao,6782574.00,12,2008,13/09/2017 00:00:00
13,Cemig Geracao e Transmissao,6782574.00,12,2009,13/09/2017 00:00:00
14,Cemig Geracao e Transmissao,6782574.00,12,2010,13/09/2017 00:00:00
15,Cemig Geracao e Transmissao,6781584.00,12,2011,13/09/2017 00:00:00
16,Cemig Geracao e Transmissao,6781584.00,12,2012,13/09/2017 00:00:00
17,Cemig Geracao e Transmissao,6779176.00,12,2013,13/09/2017 00:00:00
18,Cemig Geracao e Transmissao,5987594.00,12,2014,13/09/2017 00:00:00
19,Cemig Geracao e Transmissao,5987570.00,12,2015,13/09/2017 00:00:00
20,CEMIG Geração e Transmissão,6004832.40,12,2016,13/09/2017 00:00:00
21,Centrais Elétricas do Norte do Brasil,8046064.00,12,2006,13/09/2017 00:00:00
22,Centrais Elétricas do Norte do Brasil,9256933.10,12,2007,13/09/2017 00:00:00
23,Centrais Elétricas do Norte do Brasil,9256933.10,12,2008,13/09/2017 00:00:00
24,Centrais Elétricas do Norte do Brasil,9256933.10,12,2009,13/09/2017 00:00:00
25,Centrais Elétricas do Norte do Brasil,9256933.10,12,2010,13/09/2017 00:00:00
26,Centrais Eletricas do Norte do Brasil,9131454.00,12,2011,13/09/2017 00:00:00
27,Centrais Eletricas do Norte do Brasil,9131454.00,12,2012,13/09/2017 00:00:00
28,Centrais Eletricas do Norte do Brasil,9176454.00,12,2013,13/09/2017 00:00:00
29,Centrais Eletricas do Norte do Brasil,9191214.00,12,2014,13/09/2017 00:00:00
30,Centrais Eletricas do Norte do Brasil,9199004.00,12,2015,13/09/2017 00:00:00
31,Centrais Elétricas do Norte do Brasil,9199004.10,12,2016,13/09/2017 00:00:00
32,Companhia Energética de São Paulo,7455300.00,12,2006,13/09/2017 00:00:00
33,Companhia Energética de São Paulo,7455300.00,12,2007,13/09/2017 00:00:00
34,Companhia Energética de São Paulo,7455300.00,12,2008,13/09/2017 00:00:00
35,Companhia Energética de São Paulo,7455300.00,12,2009,13/09/2017 00:00:00
36,Companhia Energética de São Paulo,7455300.00,12,2010,13/09/2017 00:00:00
37,Companhia Energetica de São Paulo,7455300.00,12,2011,13/09/2017 00:00:00
38,Companhia Energetica de São Paulo,7461270.00,12,2012,13/09/2017 00:00:00
39,Companhia Energetica de São Paulo,7461270.00,12,2013,13/09/2017 00:00:00
40,Companhia Energetica de São Paulo,6649820.00,12,2014,13/09/2017 00:00:00
41,Companhia Energetica de São Paulo,6649820.00,12,2015,13/09/2017 00:00:00
42,Companhia Hidro Elétrica do São Francisco,10615131.00,12,2006,13/09/2017 00:00:00
43,Companhia Hidro Elétrica do São Francisco,10615131.00,12,2007,13/09/2017 00:00:00
44,Companhia Hidro Elétrica do São Francisco,10615131.00,12,2008,13/09/2017 00:00:00
45,Companhia Hidro Elétrica do São Francisco,10615131.00,12,2009,13/09/2017 00:00:00
46,Companhia Hidro Elétrica do São Francisco,10615131.00,12,2010,13/09/2017 00:00:00
47,Companhia Hidro Eletrica do São Francisco,10615131.00,12,2011,13/09/2017 00:00:00
48,Companhia Hidro Eletrica do São Francisco,10615131.00,12,2012,13/09/2017 00:00:00
49,Companhia Hidro Eletrica do São Francisco,10615131.00,12,2013,13/09/2017 00:00:00
50,Companhia Hidro Eletrica do São Francisco,10615131.00,12,2014,13/09/2017 00:00:00
51,Companhia Hidro Eletrica do São Francisco,10615131.00,12,2015,13/09/2017 00:00:00
52,Companhia Hidro Elétrica do São Francisco,10615131.00,12,2016,13/09/2017 00:00:00
53,Copel Geracao,4545154.00,12,2006,13/09/2017 00:00:00
54,Copel Geracao,4545154.00,12,2007,13/09/2017 00:00:00
55,Copel Geracao,4542104.00,12,2008,13/09/2017 00:00:00
56,Copel Geracao,4544914.00,12,2009,13/09/2017 00:00:00
57,Copel Geracao,4544914.00,12,2010,13/09/2017 00:00:00
58,Copel Geracao,4547270.00,12,2011,13/09/2017 00:00:00
59,Copel Geracao,4899350.00,12,2012,13/09/2017 00:00:00
60,Copel Geracao,4929407.00,12,2013,13/09/2017 00:00:00
61,Copel Geracao,4929407.00,12,2014,13/09/2017 00:00:00
62,Copel Geracao,4929407.00,12,2015,13/09/2017 00:00:00
63,Copel Geração e Transmissão,4921207.00,12,2016,13/09/2017 00:00:00
64,Energia Sustentavel do Brasil,2775000.00,12,2015,13/09/2017 00:00:00
65,Energia Sustentável do Brasil,3075000.00,12,2016,13/09/2017 00:00:00
66,Furnas Centrais Elétricas,9656900.00,12,2006,13/09/2017 00:00:00
67,Furnas Centrais Elétricas,9656900.00,12,2007,13/09/2017 00:00:00
68,Furnas Centrais Elétricas,9456900.00,12,2008,13/09/2017 00:00:00
69,Furnas Centrais Elétricas,9469000.00,12,2009,13/09/2017 00:00:00
70,Furnas Centrais Elétricas,9469000.00,12,2010,13/09/2017 00:00:00
71,Furnas Centrais Eletricas,9703000.00,12,2011,13/09/2017 00:00:00
72,Furnas Centrais Eletricas,9703000.00,12,2012,13/09/2017 00:00:00
73,Furnas Centrais Eletricas,9854992.00,12,2013,13/09/2017 00:00:00
74,Furnas Centrais Eletricas,9907492.00,12,2014,13/09/2017 00:00:00
75,Furnas Centrais Eletricas,9433502.00,12,2015,13/09/2017 00:00:00
76,Furnas Centrais Elétricas,9416240.00,12,2016,13/09/2017 00:00:00
