ideCapacidadeInstaladaUF,nomUF,sigUF,mdaPotenciaInstaladakW,mesReferencia,anoReferencia,dthProcessamento
1,ACRE,AC,141760.50,12,2006,13/09/2017 00:00:00
2,ACRE,AC,141349.30,12,2007,13/09/2017 00:00:00
3,ACRE,AC,141350.30,12,2008,13/09/2017 00:00:00
4,ACRE,AC,142542.30,12,2009,13/09/2017 00:00:00
5,ACRE,AC,132998.30,12,2010,13/09/2017 00:00:00
6,ACRE,AC,136843.00,12,2011,13/09/2017 00:00:00
7,ACRE,AC,165480.90,12,2012,13/09/2017 00:00:00
8,ACRE,AC,190896.00,12,2013,13/09/2017 00:00:00
9,ACRE,AC,190896.00,12,2014,13/09/2017 00:00:00
10,ACRE,AC,195698.70,12,2015,13/09/2017 00:00:00
11,Acre,AC,258290.30,12,2016,13/09/2017 00:00:00
12,ACRE,AC,180682.10,3,2012,13/09/2017 00:00:00
13,ACRE,AC,189691.00,3,2013,13/09/2017 00:00:00
14,ACRE,AC,190896.00,3,2014,13/09/2017 00:00:00
15,ACRE,AC,193477.00,3,2015,13/09/2017 00:00:00
16,ACRE,AC,195699.00,3,2016,13/09/2017 00:00:00
17,Acre,AC,250401.90,3,2017,13/09/2017 00:00:00
18,ACRE,AC,180682.10,6,2012,13/09/2017 00:00:00
19,ACRE,AC,189691.00,6,2013,13/09/2017 00:00:00
20,ACRE,AC,190896.00,6,2014,13/09/2017 00:00:00
21,ACRE,AC,195699.00,6,2015,13/09/2017 00:00:00
22,Acre,AC,195698.70,6,2016,13/09/2017 00:00:00
23,ACRE,AC,297949.00,9,2012,13/09/2017 00:00:00
24,ACRE,AC,190896.00,9,2013,13/09/2017 00:00:00
25,ACRE,AC,190896.00,9,2014,13/09/2017 00:00:00
26,ACRE,AC,195699.00,9,2015,13/09/2017 00:00:00
27,Acre,AC,256090.30,9,2016,13/09/2017 00:00:00
29,ALAGOAS,AL,7626936.50,12,2006,13/09/2017 00:00:00
30,ALAGOAS,AL,7656836.50,12,2007,13/09/2017 00:00:00
31,ALAGOAS,AL,7670436.50,12,2008,13/09/2017 00:00:00
32,ALAGOAS,AL,7662276.50,12,2009,13/09/2017 00:00:00
33,ALAGOAS,AL,7674826.50,12,2010,13/09/2017 00:00:00
34,ALAGOAS,AL,7690487.00,12,2011,13/09/2017 00:00:00
35,ALAGOAS,AL,7690486.50,12,2012,13/09/2017 00:00:00
36,ALAGOAS,AL,7748087.00,12,2013,13/09/2017 00:00:00
37,ALAGOAS,AL,702276.00,12,2014,13/09/2017 00:00:00
38,ALAGOAS,AL,710769.10,12,2015,13/09/2017 00:00:00
39,Alagoas,AL,729369.10,12,2016,13/09/2017 00:00:00
40,ALAGOAS,AL,7690486.50,3,2012,13/09/2017 00:00:00
41,ALAGOAS,AL,7690487.00,3,2013,13/09/2017 00:00:00
42,ALAGOAS,AL,7748087.00,3,2014,13/09/2017 00:00:00
43,ALAGOAS,AL,705636.00,3,2015,13/09/2017 00:00:00
44,ALAGOAS,AL,710769.00,3,2016,13/09/2017 00:00:00
45,Alagoas,AL,729369.10,3,2017,13/09/2017 00:00:00
46,ALAGOAS,AL,7690486.50,6,2012,13/09/2017 00:00:00
47,ALAGOAS,AL,7748087.00,6,2013,13/09/2017 00:00:00
48,ALAGOAS,AL,7749087.00,6,2014,13/09/2017 00:00:00
49,ALAGOAS,AL,710385.00,6,2015,13/09/2017 00:00:00
50,Alagoas,AL,710769.10,6,2016,13/09/2017 00:00:00
51,ALAGOAS,AL,8440948.00,9,2012,13/09/2017 00:00:00
52,ALAGOAS,AL,7748087.00,9,2013,13/09/2017 00:00:00
53,ALAGOAS,AL,707376.00,9,2014,13/09/2017 00:00:00
54,ALAGOAS,AL,710769.00,9,2015,13/09/2017 00:00:00
55,Alagoas,AL,710769.10,9,2016,13/09/2017 00:00:00
57,AMAZONAS,AM,2105228.60,12,2006,13/09/2017 00:00:00
58,AMAZONAS,AM,1904359.60,12,2007,13/09/2017 00:00:00
59,AMAZONAS,AM,2044287.00,12,2008,13/09/2017 00:00:00
60,AMAZONAS,AM,2129933.00,12,2009,13/09/2017 00:00:00
61,AMAZONAS,AM,2139920.60,12,2010,13/09/2017 00:00:00
62,AMAZONAS,AM,2174906.00,12,2011,13/09/2017 00:00:00
63,AMAZONAS,AM,2259870.00,12,2012,13/09/2017 00:00:00
64,AMAZONAS,AM,2262845.00,12,2013,13/09/2017 00:00:00
65,AMAZONAS,AM,2258959.00,12,2014,13/09/2017 00:00:00
66,AMAZONAS,AM,2262779.22,12,2015,13/09/2017 00:00:00
67,Amazonas,AM,2303799.04,12,2016,13/09/2017 00:00:00
68,AMAZONAS,AM,2258470.00,3,2012,13/09/2017 00:00:00
