nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
Biomassas,2000,358.8856
Biomassas,2001,0.0
Biomassas,2002,0.3903526075
Biomassas,2003,0.4899
Biomassas,2004,0.0769999999
Biomassas,2005,0.1308
Biomassas,2006,0.0
Biomassas,2007,0.0
Biomassas,2008,113.8766896695
Biomassas,2009,76.2296334004
Biomassas,2010,265.183571676
Biomassas,2011,193.0565545862
Biomassas,2012,743.5796200000001
Biomassas,2013,1248.56032
Biomassas,2014,722.9448
Biomassas,2015,6231.4404925136005
Biomassas,2016,7536.1644595033
Biomassas,2017,9026.314418498298
Biomassas,2018,8746.024599016902
Biomassas,2019,9482.297996693402
Biomassas,2020,3862.6535999999996
Carvao,2000,6735.8592437526
Carvao,2001,6182.1964323414
Carvao,2002,5037.398994661301
Carvao,2003,5239.4637619033
Carvao,2004,6346.126831916201
Carvao,2005,6107.301960652199
Carvao,2006,6686.513274171599
Carvao,2007,6194.0733302553
Carvao,2008,6269.365948123001
Carvao,2009,5193.358449129
Carvao,2010,6123.4790888231
Carvao,2011,5676.7949041436
Carvao,2012,7671.58037
Carvao,2013,13924.9508
Carvao,2014,14296.22848
Carvao,2015,17928.595672567
Carvao,2016,15606.387403463497
Carvao,2017,14950.8285504824
Carvao,2018,12567.356131787803
Carvao,2019,13961.9393057633
Carvao,2020,4704.349679999999
Energia produzida fora do SIN,2000,20670.975
Energia produzida fora do SIN,2001,0.0
Energia produzida fora do SIN,2002,0.0
Energia produzida fora do SIN,2003,0.0
Energia produzida fora do SIN,2004,0.0
Energia produzida fora do SIN,2005,0.0
Energia produzida fora do SIN,2006,10917.098262
Energia produzida fora do SIN,2007,11745.817670999999
Energia produzida fora do SIN,2008,13480.252023000001
Energia produzida fora do SIN,2009,12940.362760000002
Energia produzida fora do SIN,2010,11006.397508999997
Energia produzida fora do SIN,2011,9079.996656
Energia produzida fora do SIN,2012,12389.0
Energia produzida fora do SIN,2013,11456.376389000001
Energia produzida fora do SIN,2014,12456.101028
Energia produzida fora do SIN,2015,5875.9025470000015
