,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
0,Biomassas,2000,358.8856
1,Biomassas,2001,0.0
2,Biomassas,2002,0.3903526075
3,Biomassas,2003,0.4899
4,Biomassas,2004,0.0769999999
5,Biomassas,2005,0.1308
6,Biomassas,2006,0.0
7,Biomassas,2007,0.0
8,Biomassas,2008,113.8766896695
9,Biomassas,2009,76.2296334004
10,Biomassas,2010,265.183571676
11,Biomassas,2011,193.0565545862
12,Biomassas,2012,743.5796200000001
13,Biomassas,2013,1248.56032
14,Biomassas,2014,722.9448
15,Biomassas,2015,6231.4404925136005
16,Biomassas,2016,7536.1644595033
17,Biomassas,2017,9026.314418498298
18,Biomassas,2018,8746.024599016902
19,Biomassas,2019,9482.297996693402
20,Biomassas,2020,3862.6536
