,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
21,Carvao,2000,6735.8592437526
22,Carvao,2001,6182.1964323414
23,Carvao,2002,5037.398994661301
24,Carvao,2003,5239.4637619033
25,Carvao,2004,6346.126831916201
26,Carvao,2005,6107.301960652199
27,Carvao,2006,6686.513274171599
28,Carvao,2007,6194.0733302553
29,Carvao,2008,6269.365948123001
30,Carvao,2009,5193.358449129
31,Carvao,2010,6123.4790888231
32,Carvao,2011,5676.7949041436
33,Carvao,2012,7671.58037
34,Carvao,2013,13924.9508
35,Carvao,2014,14296.22848
36,Carvao,2015,17928.595672567
37,Carvao,2016,15606.387403463496
38,Carvao,2017,14950.8285504824
39,Carvao,2018,12567.356131787805
40,Carvao,2019,13961.9393057633
41,Carvao,2020,4704.349679999999
