,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
63,Eolicas,2000,0.0
64,Eolicas,2001,0.0
65,Eolicas,2002,0.0
66,Eolicas,2003,0.0
67,Eolicas,2004,0.0
68,Eolicas,2005,0.0
69,Eolicas,2006,146.90576783630002
70,Eolicas,2007,408.3964130622
71,Eolicas,2008,421.5501347194
72,Eolicas,2009,599.899201292
73,Eolicas,2010,1300.9423302224
74,Eolicas,2011,1689.1923827909002
75,Eolicas,2012,3191.90507
76,Eolicas,2013,4047.1212
77,Eolicas,2014,6559.3364
78,Eolicas,2015,19750.9614545809
79,Eolicas,2016,30430.665632286906
80,Eolicas,2017,39569.1414987336
81,Eolicas,2018,45148.016764393
82,Eolicas,2019,53136.4544098824
83,Eolicas,2020,19148.11152
