,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
42,Energia produzida fora do SIN,2000,20670.975
43,Energia produzida fora do SIN,2001,0.0
44,Energia produzida fora do SIN,2002,0.0
45,Energia produzida fora do SIN,2003,0.0
46,Energia produzida fora do SIN,2004,0.0
47,Energia produzida fora do SIN,2005,0.0
48,Energia produzida fora do SIN,2006,10917.098262
49,Energia produzida fora do SIN,2007,11745.817671
50,Energia produzida fora do SIN,2008,13480.252023
51,Energia produzida fora do SIN,2009,12940.362760000002
52,Energia produzida fora do SIN,2010,11006.397508999997
53,Energia produzida fora do SIN,2011,9079.996656
54,Energia produzida fora do SIN,2012,12389.0
55,Energia produzida fora do SIN,2013,11456.376389
56,Energia produzida fora do SIN,2014,12456.101028
57,Energia produzida fora do SIN,2015,5875.9025470000015
58,Energia produzida fora do SIN,2016,2702.887697
59,Energia produzida fora do SIN,2017,2779.6142510000004
60,Energia produzida fora do SIN,2018,2974.635287
61,Energia produzida fora do SIN,2019,1487.0
62,Energia produzida fora do SIN,2020,0.0
