,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
84,Gas Natural,2000,6720.166958229101
85,Gas Natural,2001,12049.0754219124
86,Gas Natural,2002,11840.6762040973
87,Gas Natural,2003,9829.786564134698
88,Gas Natural,2004,14386.3562838409
89,Gas Natural,2005,13336.2755738073
90,Gas Natural,2006,12743.0109373729
91,Gas Natural,2007,10581.3073533303
92,Gas Natural,2008,24941.893592206798
93,Gas Natural,2009,8372.4881999685
94,Gas Natural,2010,25376.8466314255
95,Gas Natural,2011,13239.901297532797
96,Gas Natural,2012,34673.144100000005
97,Gas Natural,2013,58766.90912
98,Gas Natural,2014,71719.20304
99,Gas Natural,2015,69408.2610587168
100,Gas Natural,2016,44335.1671777336
101,Gas Natural,2017,54084.8758656321
102,Gas Natural,2018,41833.510311794
103,Gas Natural,2019,46437.2388725997
104,Gas Natural,2020,18044.4984
