,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
105,Hidreletricas exclusive Itaipu,2000,234913.04674277923
106,Hidreletricas exclusive Itaipu,2001,219652.35108584928
107,Hidreletricas exclusive Itaipu,2002,238517.55208437247
108,Hidreletricas exclusive Itaipu,2003,253811.5458680062
109,Hidreletricas exclusive Itaipu,2004,268179.0165097653
110,Hidreletricas exclusive Itaipu,2005,288570.41110838746
111,Hidreletricas exclusive Itaipu,2006,296648.233728445
112,Hidreletricas exclusive Itaipu,2007,322625.5816869008
113,Hidreletricas exclusive Itaipu,2008,310505.12799213687
114,Hidreletricas exclusive Itaipu,2009,330093.70574931573
115,Hidreletricas exclusive Itaipu,2010,344296.5805307167
116,Hidreletricas exclusive Itaipu,2011,365902.0043380059
117,Hidreletricas exclusive Itaipu,2012,350746.10914
118,Hidreletricas exclusive Itaipu,2013,325784.32854
119,Hidreletricas exclusive Itaipu,2014,315821.73815999995
120,Hidreletricas exclusive Itaipu,2015,302614.09879714163
121,Hidreletricas exclusive Itaipu,2016,315303.6796496219
122,Hidreletricas exclusive Itaipu,2017,311725.06022320106
123,Hidreletricas exclusive Itaipu,2018,323458.566509108
124,Hidreletricas exclusive Itaipu,2019,346025.08695499995
125,Hidreletricas exclusive Itaipu,2020,180444.46248
