,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
126,Itaipu,2000,79941.1574220521
127,Itaipu,2001,72733.9055210272
128,Itaipu,2002,76899.82439733409
129,Itaipu,2003,83007.1687527449
130,Itaipu,2004,83788.7817364184
131,Itaipu,2005,81736.39021481921
132,Itaipu,2006,85601.0591676636
133,Itaipu,2007,83323.6312927037
134,Itaipu,2008,87194.53899064701
135,Itaipu,2009,84407.3335803779
136,Itaipu,2010,78477.334143306
137,Itaipu,2011,84017.4169700549
138,Itaipu,2012,90430.88376
139,Itaipu,2013,88803.06949
140,Itaipu,2014,76759.75512
141,Itaipu,2015,78063.84309983671
142,Itaipu,2016,91076.132236116
143,Itaipu,2017,82533.2662814027
144,Itaipu,2018,80157.90639156091
145,Itaipu,2019,63754.847696
146,Itaipu,2020,30202.1472
