,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
147,Nuclear,2000,5620.745987820899
148,Nuclear,2001,14278.6619854003
149,Nuclear,2002,13849.4959012953
150,Nuclear,2003,13357.921402168598
151,Nuclear,2004,11582.6959957436
152,Nuclear,2005,9855.4448799274
153,Nuclear,2006,13754.025630218595
154,Nuclear,2007,12349.7738238636
155,Nuclear,2008,13976.2027907367
156,Nuclear,2009,12956.9829663972
157,Nuclear,2010,14513.58235559
158,Nuclear,2011,15658.926988923398
159,Nuclear,2012,16038.73121
160,Nuclear,2013,14641.3564
161,Nuclear,2014,15377.2308
162,Nuclear,2015,14734.155458950698
163,Nuclear,2016,15808.6493877562
164,Nuclear,2017,15732.6130340784
165,Nuclear,2018,15474.4128372322
166,Nuclear,2019,16128.5118416622
167,Nuclear,2020,7267.107120000001
