,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
168,Oleo Diesel / Combustivel,2000,1407.5114712524005
169,Oleo Diesel / Combustivel,2001,1165.9392922512
170,Oleo Diesel / Combustivel,2002,528.2953984769
171,Oleo Diesel / Combustivel,2003,265.3966219176
172,Oleo Diesel / Combustivel,2004,834.1302447699
173,Oleo Diesel / Combustivel,2005,959.306073103
174,Oleo Diesel / Combustivel,2006,699.0448274039001
175,Oleo Diesel / Combustivel,2007,429.3432303316
176,Oleo Diesel / Combustivel,2008,2074.6825328743
177,Oleo Diesel / Combustivel,2009,726.8479968013
178,Oleo Diesel / Combustivel,2010,3172.5324683495
179,Oleo Diesel / Combustivel,2011,3115.5165448605
180,Oleo Diesel / Combustivel,2012,6435.45062
181,Oleo Diesel / Combustivel,2013,13419.70688
182,Oleo Diesel / Combustivel,2014,22656.147360000003
183,Oleo Diesel / Combustivel,2015,20326.7110979722
184,Oleo Diesel / Combustivel,2016,7837.0910530134
185,Oleo Diesel / Combustivel,2017,9254.3719496923
186,Oleo Diesel / Combustivel,2018,6103.9189485315
187,Oleo Diesel / Combustivel,2019,2051.8413607886
188,Oleo Diesel / Combustivel,2020,437.21208
