,nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
189,Residuos Processos Industriais,2000,0.0
190,Residuos Processos Industriais,2001,0.0
191,Residuos Processos Industriais,2002,0.0
192,Residuos Processos Industriais,2003,0.0
193,Residuos Processos Industriais,2004,0.0
194,Residuos Processos Industriais,2005,0.0
195,Residuos Processos Industriais,2006,0.0
196,Residuos Processos Industriais,2007,1448.9786018823
197,Residuos Processos Industriais,2008,3161.3282584044005
198,Residuos Processos Industriais,2009,1736.0760110306
199,Residuos Processos Industriais,2010,2477.7315900762
200,Residuos Processos Industriais,2011,3625.0731224278006
201,Residuos Processos Industriais,2012,2805.87097
202,Residuos Processos Industriais,2013,2791.32744
203,Residuos Processos Industriais,2014,5699.29
204,Residuos Processos Industriais,2015,6474.0845454931
205,Residuos Processos Industriais,2016,8632.847213934101
206,Residuos Processos Industriais,2017,10483.43647434
207,Residuos Processos Industriais,2018,10360.1361655209
208,Residuos Processos Industriais,2019,9514.049608148802
209,Residuos Processos Industriais,2020,4778.28816
