data,horario,tbs,umidade,globo,itgu, itu, orvalho
2021-02-22,00:00:01,22.69,96.5,22,71.4574403332682,72.55,22.104000925745
2021-02-22,00:10:00,22.6,96.77,22,71.4416825341408,72.41,22.0602292615022
2021-02-22,00:20:00,22.61,96.71,22,71.4416045807949,72.42,22.0600127244302
2021-02-22,00:30:00,22.55,97.31,22,71.4566215625629,72.38,22.1017265626747
2021-02-22,00:40:00,22.49,97.65,21.5,70.9556966004027,72.29,22.0991572233408
2021-02-22,00:50:00,22.53,98.01,21.5,70.9918064717903,72.4,22.1994624216398
2021-02-22,01:00:00,22.41,98.29,21.5,70.9655687528922,72.21,22.1265798691451
2021-02-22,01:10:00,22.35,99.14,21.5,70.9949018667556,72.16,22.2080607409879
2021-02-22,01:20:00,22.36,99.54,21.5,71.0223144922001,72.21,22.284206922778
2021-02-22,01:30:00,22.2,99.52,21.5,70.9635599784789,71.92,22.120999940219
2021-02-22,01:40:00,22.05,100.63,21.5,70.9751045553175,71.73,22.1530682092154
2021-02-22,01:50:00,21.94,100.79,21.5,70.9448569304358,71.55,22.0690470289883
2021-02-22,02:00:00,21.92,101.14,21,70.4581270858322,71.54,22.1059085717561
2021-02-22,02:10:00,21.93,101.63,21,70.4902982723024,71.59,22.1952729786177
2021-02-22,02:20:00,21.84,101.97,21,70.4775705130867,71.46,22.1599180919073
2021-02-22,02:30:00,21.79,102.13,21,70.4687916268202,71.38,22.1355322967228
2021-02-22,02:40:00,21.83,102.1,21,70.4814925589349,71.45,22.1708126637081
2021-02-22,02:50:00,21.81,102.18,21,70.4789034499691,71.42,22.1636206943586
2021-02-22,03:00:00,21.74,102.83,21,70.4911131249798,71.33,22.1975364582773
2021-02-22,03:10:00,21.55,102.8,21,70.4207539636329,71,22.0020943434247
2021-02-22,03:20:00,21.73,103.14,21,70.5052999239819,71.33,22.2369442332829
2021-02-22,03:30:00,21.53,102.86,21,70.4169736839785,70.96,21.9915935666069
2021-02-22,03:40:00,21.47,103.29,21,70.4199201464664,70.87,21.999778184629
2021-02-22,03:50:00,21.33,103.21,21,70.3647489517241,70.61,21.8465248659002
2021-02-22,04:00:00,21.29,103.95,21,70.3924266812393,70.58,21.9234074478868
2021-02-22,04:10:00,21.37,104.15,20.5,69.9327142325882,70.75,22.0353173127451
2021-02-22,04:20:00,21.32,104.34,21,70.4253836595646,70.67,22.0149546099018
2021-02-22,04:30:00,21.32,105.13,21,70.4699397966445,70.72,22.1387216573459
2021-02-22,04:40:00,21.14,105.31,20.5,69.9148351149821,70.4,21.9856530971724
2021-02-22,04:50:00,21.28,106.18,20.5,70.0142009183886,70.71,22.2616692177462
2021-02-22,05:00:00,21.23,106.51,20.5,70.0144193157239,70.66,22.2622758770108
2021-02-22,05:10:00,21.27,106.49,20.5,70.0278208596906,70.72,22.2995023880294
2021-02-22,05:20:00,21.24,107.02,20.5,70.0463145900966,70.71,22.3508738613796
2021-02-22,05:30:00,21.29,107.3,20.5,70.0799411676998,70.81,22.4442810213884
2021-02-22,05:40:00,21.32,107.47,20.5,70.1002160785226,70.88,22.5006002181185
2021-02-22,05:50:00,21.92,106.39,21,70.758063425332,71.93,22.9390650703666
2021-02-22,06:00:00,22.63,103.44,22,71.8478416703151,73.01,23.1884490842087
2021-02-22,06:10:00,23.64,97.91,24,73.884324557684,74.35,23.289790438011
2021-02-22,06:20:00,24.99,90.26,25.5,75.3816367763199,75.96,23.2823243786664
2021-02-22,06:30:00,25.93,85.89,27,76.9187644521456,77.07,23.3854568115156
2021-02-22,06:40:00,26.7,82.53,28,77.9519228855529,77.94,23.4775635709801
2021-02-22,06:50:00,27.14,80.25,29,78.9390710003994,78.37,23.4418638899983
2021-02-22,07:00:00,27.84,76.88,30,79.9275531008556,79.05,23.4098697245988
2021-02-22,07:10:00,28.64,73.14,31,80.9078371509382,79.78,23.3551031970507
2021-02-22,07:20:00,30.34,67.46,31.5,81.5105646899274,81.49,23.6404574720206
2021-02-22,07:30:00,29.38,70.29,32,81.9262312580834,80.5,23.4061979391206
2021-02-22,07:40:00,29.67,67.6,32.5,82.2933614014823,80.53,23.0371150041175
2021-02-22,07:50:00,31.37,60.18,33.5,83.1806925890963,81.79,22.7241460808229
2021-02-22,08:00:00,31.99,56.89,33.5,83.0560195012679,82.09,22.3778319479663
2021-02-22,08:10:00,31.78,54.51,34,83.2336356369972,81.39,21.482321213881
2021-02-22,08:20:00,32.41,51.61,34.5,83.6219241618897,81.73,21.1720115608048
2021-02-22,08:30:00,32.13,50.98,35.5,84.4573161201257,81.25,20.7147670003491
2021-02-22,08:40:00,35.23,45.96,35.5,84.8669207232392,84.29,21.8525575645534
2021-02-22,08:50:00,35.58,42.57,38.5,87.5303042036061,84.03,20.9175116766835
2021-02-22,09:00:00,36.55,38.96,40,88.8241977147119,84.43,20.3449936519775
2021-02-22,09:10:00,36.16,40.13,39.5,88.3719569763675,84.22,20.4776582676875
2021-02-22,09:20:00,38.03,35.55,41,89.760566583936,85.4,20.1682405109333
2021-02-22,09:30:00,36.21,38.86,39.5,88.2006205098275,84,20.0017236384098
2021-02-22,09:40:00,38.62,35.15,40,88.880708193205,85.99,20.5019672033472
2021-02-22,09:50:00,37.93,34.78,40.5,89.1017574385247,85.11,19.7271039959021
2021-02-22,10:00:00,38.52,34.21,40,88.6913349151429,85.66,19.9759303198413
2021-02-22,10:10:00,38.1,34.6,39.5,88.1251482038025,85.27,19.7920783438958
2021-02-22,10:20:00,36.84,35.8,39,87.4252798351341,84.08,19.2368884309281
2021-02-22,10:30:00,38.46,34.15,39,87.662285738,85.57,19.8952381611111
2021-02-22,10:40:00,39.07,32.76,40.5,89.1120481391834,85.93,19.7556892755093
2021-02-22,10:50:00,38.64,33.79,40,88.6572097024897,85.69,19.8811380624713
2021-02-22,11:00:00,39.2,32.27,41.5,90.0651951136335,85.96,19.6255419823153
2021-02-22,11:10:00,40.81,27.94,43,91.2301187019593,86.65,18.6947741721092
2021-02-22,11:20:00,40.84,28.51,43.5,91.8557393843488,86.83,19.0437205120799
2021-02-22,11:30:00,39.04,31.83,41,89.4358527926385,85.67,19.2662577573292
2021-02-22,11:40:00,42.01,26.65,43.5,91.8238236770264,87.6,18.9550657695179
2021-02-22,11:50:00,41.37,24.77,43.5,91.210741090697,86.42,17.2520585852694
2021-02-22,12:00:00,39.71,27.39,43,90.7798105418007,85.32,17.4439181716686
2021-02-22,12:50:00,39.35,28.44,43,90.8843108310989,85.18,17.7341967530525
2021-02-22,13:00:00,39.2,31.14,40.5,88.858965853465,85.68,19.0526829262918
2021-02-22,13:10:00,41.37,27.13,44.5,92.7318158382239,87.05,18.6994884395109
2021-02-22,13:20:00,41.45,25.67,46.5,94.4386272378391,86.74,17.8850756606643
2021-02-22,13:30:00,39.87,29.59,43.5,91.7717945383292,86.05,18.8105403842478
2021-02-22,13:40:00,37.97,33.44,40,88.3868492082014,84.85,19.1301366894484
2021-02-22,13:50:00,35.93,39.42,37.5,86.1942921516678,83.78,19.9841448657438
2021-02-22,14:00:00,40.92,32.99,36.5,85.7308384882511,88.1,21.474551356253
2021-02-22,14:10:00,37.71,38.36,38.5,87.6035973044095,85.68,21.1211036233597
2021-02-22,14:20:00,34.94,44.38,36,85.0668716759991,83.61,21.0190879888865
2021-02-22,14:40:00,34.9,42.59,35.5,84.3133011422531,83.19,20.3147253951476
2021-02-22,14:50:00,34.74,44.85,34,83.0635890010796,83.45,21.0099694474433
2021-02-22,15:00:00,36.98,38.29,37,85.8602426398172,84.79,20.4451184439367
2021-02-22,15:10:00,34.59,44.35,36.5,85.4492154295316,83.16,20.6922650820322
2021-02-22,15:20:00,43.14,35.11,36.5,86.7969833320464,91.22,24.43606481124
2021-02-22,15:30:00,41.36,31.45,39,88.0871837396462,88.19,21.0755103879061
2021-02-22,15:40:00,36.14,49.83,36,86.1458755196197,86.28,24.0163208878326
2021-02-22,15:50:00,40.42,39.4,36,86.1268259245726,89.17,23.9634053460349
2021-02-22,16:00:00,38.12,42.81,35.5,85.3841034612977,87.22,23.2891762813825
2021-02-22,16:10:00,39.11,42.03,35,85.0936157699724,88.24,23.87115491659
2021-02-22,16:20:00,39.93,40.09,36,86.07408907447,88.75,23.81691409575
